MSAID,BETA,FLUX_BETA,PIVOT_BETA,REDSHIFT,A,SIGMA,FLUX_LA,EW_LA
2426_169,-1.6938030297185631,232437829371.8133,2000.0,8.23,1034502368955.6095,10.0,12882796538329.938,48.0073185934225
2426_169,-1.654412209235912,229527070375.6488,2000.0,8.23,1269052311721.796,10.0,15803678385883.607,60.819645108536804
2426_169,-1.675074833605484,226249308842.98016,2000.0,8.23,950361420498.4332,10.0,11834978039267.205,45.73334419923301
2426_169,-1.7126453641741046,230460281484.4713,2000.0,8.23,882202050337.761,10.0,10986180274940.059,40.90547405064937
2426_169,-1.697527857820014,227588822421.2295,2000.0,8.23,1196208483384.7976,10.0,14896544436556.857,56.589191642212015
2426_169,-1.6360416196645373,224020849715.30203,2000.0,8.23,1590091477434.555,10.0,19801622109190.96,78.79584298591854
2426_169,-1.68388081192707,226377682276.1273,2000.0,8.23,1152949833436.737,10.0,14357838675673.66,55.2083225270989
2426_169,-1.6946842827205213,228588158346.7279,2000.0,8.23,904851840666.2727,10.0,11268241147098.941,42.679174235350345
2426_169,-1.669174767725562,232269641461.84055,2000.0,8.23,1140870560787.872,10.0,14207413875754.215,53.63531338597214
2426_169,-1.7005160912968016,228457341884.91962,2000.0,8.23,1131218220392.0967,10.0,14087211988190.615,53.23200441866826
2426_169,-1.652993276048869,226121347170.77084,2000.0,8.23,1014199149259.482,10.0,12629957824502.45,49.37267909208019
2426_169,-1.8133772103055008,228481875645.51303,2000.0,8.23,1140051403609.5964,10.0,14197212801713.86,50.711470820848845
2426_169,-1.7385060255812106,230025043021.8599,2000.0,8.23,1257115574955.647,10.0,15655028604399.639,57.65261733814168
2426_169,-1.7157469800304268,226711742582.85153,2000.0,8.23,1146975734629.3887,10.0,14283442423190.787,53.97829558846997
2426_169,-1.6722168264650552,222565351644.49493,2000.0,8.23,1003130009957.4158,10.0,12492112350424.98,49.14155943295617
2426_169,-1.7094777021079406,227353440621.89368,2000.0,8.23,891657353328.3441,10.0,11103928429310.086,41.97499961950914
2426_169,-1.7151312609110076,227441164847.52676,2000.0,8.23,1128216127725.746,10.0,14049826526184.52,52.94138396221483
2426_169,-1.6866125478517804,229071426629.79224,2000.0,8.23,1229290150243.9724,10.0,15308514864160.44,58.09258282544951
2426_169,-1.6755931617210456,226314441623.4322,2000.0,8.23,1359277186274.2612,10.0,16927260831353.705,65.3755161510675
2426_169,-1.6455501928962726,230951883084.16214,2000.0,8.23,1503932278517.8508,10.0,18728670066877.145,71.94835000182712
2426_169,-1.6158654046915872,226923310393.9558,2000.0,8.23,1408543268184.0452,10.0,17540777946955.09,69.60211502237661
2426_169,-1.7593992676606176,232623120409.8024,2000.0,8.23,1168502927123.8816,10.0,14551523434187.408,52.441996672724756
2426_169,-1.6722031141488596,223573966953.73608,2000.0,8.23,1413516684981.234,10.0,17602712572356.848,68.93375515508407
2426_169,-1.714757983619406,231703649732.43887,2000.0,8.23,1281388847976.9182,10.0,15957306923943.814,59.033810560019134
2426_169,-1.5975104784964416,226811995851.12152,2000.0,8.23,1397368968578.9648,10.0,17401622897541.406,69.71792133025366
2426_169,-1.7015400839499044,226514229444.09073,2000.0,8.23,1088948556298.1418,10.0,13560822200590.875,51.65615254327719
